iter	Passed	Remaining
878	1488	204
879	1489	203
880	1491	201
881	1492	199
882	1494	197
883	1495	196
884	1497	194
885	1498	192
886	1499	191
887	1501	189
888	1502	187
889	1504	185
890	1505	184
891	1507	182
892	1508	180
893	1510	179
894	1511	177
895	1513	175
896	1514	173
897	1516	172
898	1518	170
899	1519	168
900	1521	167
901	1523	165
902	1524	163
903	1526	162
904	1528	160
905	1529	158
906	1530	156
907	1532	155
908	1533	153
909	1535	151
910	1536	150
911	1538	148
912	1540	146
913	1541	145
914	1543	143
915	1544	141
916	1546	139
917	1547	138
918	1549	136
919	1550	134
920	1552	133
921	1553	131
922	1555	129
923	1556	128
924	1558	126
925	1559	124
926	1561	122
927	1562	121
928	1564	119
929	1565	117
930	1567	116
931	1568	114
932	1570	112
933	1571	111
934	1573	109
935	1575	107
936	1577	106
937	1578	104
938	1580	102
939	1582	101
940	1584	99
941	1585	97
942	1587	95
943	1589	94
944	1591	92
945	1593	90
946	1594	89
947	1596	87
948	1598	85
949	1599	84
950	1602	82
951	1603	80
952	1605	79
953	1607	77
954	1608	75
955	1610	74
956	1612	72
957	1613	70
958	1615	69
959	1617	67
960	1618	65
961	1620	64
962	1622	62
963	1624	60
964	1625	58
965	1627	57
966	1628	55
967	1630	53
968	1631	52
969	1633	50
970	1634	48
971	1636	47
972	1639	45
973	1641	43
974	1643	42
975	1645	40
976	1646	38
977	1648	37
978	1650	35
979	1651	33
980	1653	32
981	1655	30
982	1656	28
983	1658	26
984	1659	25
985	1661	23
986	1663	21
987	1664	20
988	1665	18
989	1667	16
990	1669	15
991	1670	13
992	1672	11
993	1673	10
994	1675	8
995	1676	6
996	1678	5
997	1680	3
998	1681	1
999	1683	0
